VentaID,Fecha,TiendaID,ProductoID,Cantidad,PrecioUnitario,MontoTotal,Descuento
V0000037,2023-01-01,T080,P0071,1,15711.43,15711.43,16.5
V0000038,2023-01-01,T049,P0084,3,18932.3,56796.91,15.9
V0000039,2023-01-01,T065,P0117,1,25755.33,25755.33,3.0
V0000040,2023-01-01,T015,P0180,2,739.33,1478.67,19.5
V0000041,2023-01-01,T071,P0197,1,4463.3,4463.3,6.5
V0000042,2023-01-01,T030,P0116,1,20401.05,20401.05,24.8
V0000043,2023-01-01,T054,P0103,1,28816.69,28816.69,9.4
V0000044,2023-01-01,T086,P0081,1,10831.34,10831.34,28.6
V0000045,2023-01-01,T061,P0176,1,3348.17,3348.17,25.0
V0000046,2023-01-01,T056,P0024,1,16120.65,16120.65,22.2
V0000047,2023-01-01,T072,P0034,1,10438.88,10438.88,28.7
V0000048,2023-01-01,T043,P0144,1,3285.38,3285.38,12.3
V0000049,2023-01-01,T097,P0171,1,4980.47,4980.47,27.5
V0000050,2023-01-01,T037,P0014,1,14045.31,14045.31,10.5
V0000051,2023-01-01,T065,P0148,1,4523.23,4523.23,19.7
V0000052,2023-01-01,T014,P0058,1,5989.32,5989.32,16.7
V0000053,2023-01-01,T098,P0030,1,7294.15,7294.15,6.8
V0000054,2023-01-01,T072,P0110,3,16412.74,49238.23,24.6
V0000055,2023-01-01,T087,P0158,1,2773.82,2773.82,0.8
V0000056,2023-01-01,T089,P0169,1,2359.43,2359.43,5.4
V0000057,2023-01-01,T098,P0180,1,825.08,825.08,10.2
V0000058,2023-01-01,T024,P0002,2,15939.96,31879.92,17.0
V0000059,2023-01-01,T009,P0103,1,25758.11,25758.11,19.0
V0000060,2023-01-01,T012,P0008,1,11503.84,11503.84,6.5
V0000061,2023-01-01,T059,P0108,1,22954.37,22954.37,11.1
V0000062,2023-01-01,T042,P0185,1,1133.92,1133.92,17.0
V0000063,2023-01-01,T007,P0022,1,14034.02,14034.02,22.6
V0000064,2023-01-01,T087,P0013,1,8193.71,8193.71,13.3
V0000065,2023-01-01,T063,P0109,1,27443.68,27443.68,12.4
V0000066,2023-01-01,T097,P0056,1,6914.49,6914.49,10.4
V0000067,2023-01-01,T037,P0029,1,13038.6,13038.6,17.8
V0000068,2023-01-01,T086,P0135,1,7916.7,7916.7,6.6
V0000069,2023-01-01,T008,P0154,1,3296.75,3296.75,9.0
V0000070,2023-01-01,T099,P0055,1,13214.38,13214.38,7.7
V0000071,2023-01-01,T016,P0084,1,17470.17,17470.17,22.4
V0000072,2023-01-01,T017,P0045,1,15069.52,15069.52,21.1
V0000073,2023-01-01,T072,P0129,1,2496.63,2496.63,24.2
V0000074,2023-01-01,T051,P0019,2,23306.82,46613.64,1.3
V0000075,2023-01-01,T059,P0005,2,2656.9,5313.81,25.9
V0000076,2023-01-01,T055,P0148,1,4434.06,4434.06,21.3
V0000077,2023-01-01,T038,P0107,1,17331.65,17331.65,0.6
V0000078,2023-01-01,T022,P0084,1,18340.79,18340.79,18.5
V0000079,2023-01-01,T047,P0177,1,2109.17,2109.17,25.3
V0000080,2023-01-01,T056,P0063,1,5127.67,5127.67,15.7
V0000081,2023-01-01,T040,P0102,1,11363.78,11363.78,6.6
V0000082,2023-01-01,T022,P0200,1,2047.21,2047.21,19.0
V0000083,2023-01-01,T066,P0136,1,7941.22,7941.22,23.3
V0000084,2023-01-01,T094,P0090,2,12380.48,24760.95,19.4
V0000085,2023-01-01,T031,P0038,1,20558.73,20558.73,7.7
V0000086,2023-01-01,T078,P0045,1,14751.58,14751.58,22.8
V0000087,2023-01-01,T023,P0020,2,13772.72,27545.45,18.8
V0000088,2023-01-01,T097,P0119,1,21407.0,21407.0,17.4
V0000089,2023-01-01,T073,P0175,1,2026.78,2026.78,29.6
V0000090,2023-01-01,T081,P0083,1,21503.25,21503.25,13.2
V0000091,2023-01-01,T057,P0121,1,8651.06,8651.06,23.9
V0000092,2023-01-01,T008,P0152,1,4190.59,4190.59,2.2
V0000093,2023-01-01,T058,P0119,1,23045.1,23045.1,11.1
V0000094,2023-01-01,T010,P0074,1,2900.05,2900.05,29.3
V0000095,2023-01-01,T079,P0024,1,18322.1,18322.1,11.5
V0000096,2023-01-01,T071,P0149,2,5966.86,11933.71,22.2
V0000097,2023-01-01,T058,P0011,2,7306.95,14613.9,17.1
V0000098,2023-01-01,T042,P0049,1,15874.48,15874.48,15.0
V0000099,2023-01-01,T058,P0016,1,16111.51,16111.51,27.0
V0000100,2023-01-01,T092,P0088,1,24234.69,24234.69,19.4
V0000101,2023-01-01,T032,P0011,1,6197.47,6197.47,29.7
V0000102,2023-01-01,T067,P0135,1,7552.05,7552.05,10.9
V0000103,2023-01-01,T050,P0073,1,13412.92,13412.92,10.2
V0000104,2023-01-01,T007,P0154,1,2920.65,2920.65,19.4
V0000105,2023-01-01,T043,P0017,1,13528.37,13528.37,20.4
V0000106,2023-01-01,T033,P0073,1,11987.88,11987.88,19.7
V0000107,2023-01-01,T020,P0155,1,2590.86,2590.86,17.5
V0000108,2023-01-01,T045,P0037,1,10091.87,10091.87,19.7
V0000109,2023-01-01,T051,P0170,1,5317.2,5317.2,21.3
V0000110,2023-01-01,T040,P0022,1,14637.75,14637.75,19.3
V0000111,2023-01-01,T017,P0085,1,24942.07,24942.07,24.9
V0000112,2023-01-01,T088,P0190,2,2822.2,5644.41,2.8
V0000113,2023-01-01,T055,P0172,1,6862.01,6862.01,0.5
V0000114,2023-01-01,T024,P0080,2,21147.81,42295.63,10.3
V0000115,2023-01-01,T063,P0197,1,3339.78,3339.78,30.0
V0000116,2023-01-01,T010,P0040,1,16429.4,16429.4,23.6
V0000117,2023-01-01,T099,P0130,1,10272.52,10272.52,22.2
V0000118,2023-01-01,T005,P0135,1,6248.64,6248.64,26.3
V0000119,2023-01-01,T017,P0159,1,2213.06,2213.06,4.6
V0000120,2023-01-01,T089,P0047,1,6687.79,6687.79,24.3
V0000121,2023-01-01,T093,P0043,1,3005.9,3005.9,12.3
V0000122,2023-01-01,T093,P0174,1,1461.8,1461.8,13.3
V0000123,2023-01-01,T097,P0073,1,12917.77,12917.77,13.5
V0000124,2023-01-01,T031,P0137,1,9031.29,9031.29,24.3
V0000125,2023-01-01,T025,P0121,1,8136.83,8136.83,28.4
V0000126,2023-01-01,T060,P0113,1,18479.85,18479.85,23.3
V0000127,2023-01-01,T068,P0129,1,3133.0,3133.0,4.9
V0000128,2023-01-01,T078,P0052,1,14747.07,14747.07,7.5
V0000129,2023-01-01,T062,P0165,2,5436.26,10872.52,16.6
V0000130,2023-01-01,T092,P0027,1,9751.0,9751.0,25.5
V0000131,2023-01-01,T011,P0073,1,13706.6,13706.6,8.2
V0000132,2023-01-01,T019,P0132,1,7581.33,7581.33,2.8
V0000133,2023-01-01,T058,P0057,2,11300.65,22601.3,27.9
V0000134,2023-01-01,T007,P0107,1,15484.13,15484.13,11.2
V0000135,2023-01-01,T011,P0099,1,17694.68,17694.68,0.8
V0000136,2023-01-01,T092,P0026,1,5854.97,5854.97,23.7
V0000137,2023-01-01,T005,P0036,1,14953.21,14953.21,24.9
V0000138,2023-01-01,T018,P0179,1,3100.01,3100.01,14.1
V0000139,2023-01-01,T001,P0158,2,2779.9,5559.8,0.6
V0000140,2023-01-01,T020,P0056,1,6030.42,6030.42,21.8
V0000141,2023-01-01,T055,P0136,1,9457.12,9457.12,8.6
V0000142,2023-01-01,T016,P0078,1,14054.25,14054.25,12.6
V0000143,2023-01-01,T059,P0160,1,4528.81,4528.81,25.1
V0000144,2023-01-01,T077,P0128,1,8974.15,8974.15,19.0
V0000145,2023-01-01,T031,P0148,1,5140.83,5140.83,8.7
V0000146,2023-01-01,T079,P0001,1,16007.55,16007.55,17.1
V0000147,2023-01-01,T086,P0048,1,19755.57,19755.57,15.7
V0000148,2023-01-01,T009,P0093,2,16264.03,32528.05,16.3
V0000149,2023-01-01,T071,P0130,1,9739.28,9739.28,26.2
V0000150,2023-01-01,T082,P0012,1,13139.89,13139.89,11.2
V0000151,2023-01-01,T003,P0192,1,4337.51,4337.51,2.0
V0000152,2023-01-01,T094,P0062,1,8207.02,8207.02,3.1
V0000153,2023-01-01,T095,P0149,1,7359.46,7359.46,4.0
V0000154,2023-01-01,T070,P0091,1,13929.8,13929.8,19.3
V0000155,2023-01-01,T088,P0200,1,2000.08,2000.08,20.9
V0000156,2023-01-01,T024,P0162,1,2160.94,2160.94,1.9
V0000157,2023-01-01,T059,P0199,1,3812.89,3812.89,6.0
V0000158,2023-01-01,T006,P0052,1,14459.75,14459.75,9.3
V0000159,2023-01-01,T070,P0102,1,12039.21,12039.21,1.1
V0000160,2023-01-01,T025,P0166,1,3679.24,3679.24,25.9
V0000161,2023-01-01,T084,P0013,1,9097.04,9097.04,3.7
V0000162,2023-01-01,T056,P0095,2,21766.5,43532.99,22.3
V0000163,2023-01-01,T044,P0099,3,15189.08,45567.23,14.9
V0000164,2023-01-01,T048,P0128,2,9348.48,18696.96,15.6
V0000165,2023-01-01,T094,P0022,1,15796.25,15796.25,12.9
V0000166,2023-01-01,T070,P0047,1,8559.43,8559.43,3.1
V0000167,2023-01-01,T085,P0084,1,19504.04,19504.04,13.4
V0000168,2023-01-01,T055,P0184,1,1629.46,1629.46,13.3
V0000169,2023-01-01,T006,P0115,1,23456.81,23456.81,27.3
V0000170,2023-01-01,T056,P0158,1,1973.84,1973.84,29.4
V0000171,2023-01-01,T010,P0015,1,15409.36,15409.36,12.2
V0000172,2023-01-01,T096,P0132,1,5567.49,5567.49,28.6
V0000173,2023-01-01,T078,P0037,1,10913.17,10913.17,13.1
V0000174,2023-01-01,T009,P0033,1,3546.46,3546.46,19.4
V0000175,2023-01-01,T050,P0093,2,19247.71,38495.42,1.0
V0000176,2023-01-01,T087,P0040,1,19122.15,19122.15,11.1
V0000177,2023-01-01,T098,P0114,1,23361.05,23361.05,4.1
V0000178,2023-01-01,T051,P0094,1,15584.21,15584.21,8.4
V0000179,2023-01-01,T004,P0030,1,6653.55,6653.55,15.0
V0000180,2023-01-01,T072,P0100,1,20274.41,20274.41,23.2
V0000181,2023-01-01,T058,P0181,1,1302.11,1302.11,18.4
V0000182,2023-01-01,T063,P0178,1,3588.04,3588.04,4.1
V0000183,2023-01-01,T058,P0019,1,18554.37,18554.37,21.4
V0000184,2023-01-01,T088,P0023,2,15166.68,30333.37,29.6
V0000185,2023-01-01,T045,P0171,1,5734.18,5734.18,16.5
V0000186,2023-01-01,T039,P0075,2,5083.28,10166.56,21.4
V0000187,2023-01-01,T082,P0180,1,819.1,819.1,10.8
V0000188,2023-01-01,T016,P0058,3,5480.77,16442.3,23.8
V0000189,2023-01-01,T064,P0061,1,3613.23,3613.23,16.6
V0000190,2023-01-01,T060,P0095,1,23377.21,23377.21,16.5
V0000191,2023-01-01,T012,P0157,1,5041.99,5041.99,11.9
V0000192,2023-01-01,T093,P0184,1,1648.14,1648.14,12.3
V0000193,2023-01-01,T074,P0105,1,8710.74,8710.74,29.2
V0000194,2023-01-01,T010,P0165,1,5190.61,5190.61,20.4
V0000195,2023-01-01,T017,P0089,2,11596.49,23192.98,23.4
V0000196,2023-01-01,T076,P0164,1,1980.63,1980.63,29.0
V0000197,2023-01-01,T065,P0111,2,10929.47,21858.94,1.7
V0000198,2023-01-01,T067,P0032,1,15973.75,15973.75,4.9
V0000199,2023-01-01,T091,P0083,1,17730.18,17730.18,28.4
V0000200,2023-01-01,T037,P0133,1,11413.22,11413.22,7.5
V0000201,2023-01-01,T071,P0163,1,4795.95,4795.95,18.8
V0000202,2023-01-01,T069,P0158,1,2258.21,2258.21,19.2
V0000203,2023-01-01,T075,P0152,1,3438.99,3438.99,19.8
V0000204,2023-01-01,T078,P0185,1,987.83,987.83,27.7
V0000205,2023-01-01,T004,P0011,1,6309.76,6309.76,28.5
V0000206,2023-01-01,T074,P0198,1,2820.89,2820.89,6.3
V0000207,2023-01-01,T054,P0147,1,13121.07,13121.07,0.9
V0000208,2023-01-01,T070,P0161,1,3883.82,3883.82,28.7
V0000209,2023-01-01,T032,P0124,1,5118.95,5118.95,20.5
V0000210,2023-01-01,T059,P0077,1,11669.47,11669.47,1.8
V0000211,2023-01-01,T054,P0113,1,22631.88,22631.88,6.1
V0000212,2023-01-01,T019,P0156,1,4996.16,4996.16,21.6
V0000213,2023-01-01,T045,P0188,3,4719.59,14158.77,3.9
V0000214,2023-01-01,T066,P0095,1,25331.39,25331.39,9.6
V0000215,2023-01-01,T016,P0120,1,15134.6,15134.6,7.4
V0000216,2023-01-01,T007,P0025,1,6760.96,6760.96,11.5
V0000217,2023-01-01,T054,P0158,1,2070.06,2070.06,26.0
V0000218,2023-01-01,T042,P0041,2,4986.01,9972.03,21.6
V0000219,2023-01-01,T098,P0049,1,13102.01,13102.01,29.9
V0000220,2023-01-01,T064,P0120,2,13910.99,27821.97,14.9
V0000221,2023-01-01,T051,P0024,1,14704.69,14704.69,29.0
V0000222,2023-01-01,T075,P0056,1,7596.26,7596.26,1.5
V0000223,2023-01-01,T077,P0127,2,8813.82,17627.63,19.6
V0000224,2023-01-01,T037,P0121,1,8477.68,8477.68,25.4
V0000225,2023-01-01,T018,P0111,2,8688.52,17377.04,21.8
V0000226,2023-01-01,T052,P0196,1,3157.72,3157.72,12.0
V0000227,2023-01-01,T072,P0146,1,2561.11,2561.11,16.6
V0000228,2023-01-01,T050,P0019,1,18192.95,18192.95,22.9
V0000229,2023-01-01,T080,P0072,1,7511.78,7511.78,3.6
V0000230,2023-01-01,T051,P0025,1,5379.42,5379.42,29.6
V0000231,2023-01-01,T047,P0143,1,7501.96,7501.96,6.0
V0000232,2023-01-01,T052,P0131,1,13448.35,13448.35,1.4
V0000233,2023-01-01,T092,P0036,1,17079.61,17079.61,14.2
V0000234,2023-01-01,T020,P0117,1,22439.89,22439.89,15.5
V0000235,2023-01-01,T079,P0084,1,19861.79,19861.79,11.8
V0000236,2023-01-01,T095,P0158,1,2297.85,2297.85,17.8
V0000237,2023-01-01,T066,P0130,1,10390.91,10390.91,21.3
V0000238,2023-01-01,T061,P0077,1,10569.89,10569.89,11.1
V0000239,2023-01-01,T015,P0173,3,2544.87,7634.62,17.5
V0000240,2023-01-01,T089,P0186,1,1094.44,1094.44,17.9
V0000241,2023-01-01,T084,P0068,1,5080.09,5080.09,23.3
V0000242,2023-01-01,T030,P0148,1,4646.95,4646.95,17.5
V0000243,2023-01-01,T068,P0044,1,3479.66,3479.66,18.6
V0000244,2023-01-01,T019,P0098,1,11126.73,11126.73,7.3
V0000245,2023-01-01,T090,P0147,1,13166.15,13166.15,0.6
V0000246,2023-01-01,T054,P0081,1,12028.79,12028.79,20.7
V0000247,2023-01-02,T100,P0129,1,2827.19,2827.19,14.1
V0000248,2023-01-02,T094,P0189,1,2035.98,2035.98,4.1
V0000249,2023-01-02,T072,P0054,1,6440.08,6440.08,19.9
V0000250,2023-01-02,T049,P0135,1,8037.09,8037.09,5.2
V0000251,2023-01-02,T044,P0137,1,9506.18,9506.18,20.3
V0000252,2023-01-02,T088,P0185,1,1082.38,1082.38,20.8
V0000253,2023-01-02,T062,P0157,1,5302.47,5302.47,7.4
V0000254,2023-01-02,T039,P0143,1,5649.73,5649.73,29.2
V0000255,2023-01-02,T099,P0077,1,11144.13,11144.13,6.2
V0000256,2023-01-02,T063,P0181,1,1427.98,1427.98,10.5
V0000257,2023-01-02,T036,P0185,1,1131.51,1131.51,17.2
V0000258,2023-01-02,T049,P0140,2,5667.84,11335.67,11.8
V0000259,2023-01-02,T099,P0089,1,13821.29,13821.29,8.7
V0000260,2023-01-02,T092,P0074,1,2965.73,2965.73,27.7
V0000261,2023-01-02,T033,P0168,1,2045.67,2045.67,6.4
V0000262,2023-01-02,T035,P0138,2,9510.65,19021.3,20.9
V0000263,2023-01-02,T014,P0036,1,16404.18,16404.18,17.6
V0000264,2023-01-02,T007,P0063,1,5114.75,5114.75,15.9
V0000265,2023-01-02,T030,P0164,1,2443.31,2443.31,12.4
V0000266,2023-01-02,T061,P0184,1,1445.13,1445.13,23.1
V0000267,2023-01-02,T071,P0002,3,18292.52,54877.55,4.7
V0000268,2023-01-02,T061,P0168,1,2055.2,2055.2,6.0
V0000269,2023-01-02,T042,P0074,1,4030.3,4030.3,1.8
V0000270,2023-01-02,T012,P0197,1,4438.69,4438.69,7.0
V0000271,2023-01-02,T093,P0190,2,2871.12,5742.24,1.1
V0000272,2023-01-02,T054,P0045,2,18094.6,36189.19,5.3
V0000273,2023-01-02,T051,P0010,1,10723.54,10723.54,5.6
V0000274,2023-01-02,T038,P0192,2,4414.93,8829.86,0.3
V0000275,2023-01-02,T078,P0146,1,2165.19,2165.19,29.5
V0000276,2023-01-02,T059,P0073,3,12495.13,37485.38,16.3
V0000277,2023-01-02,T018,P0127,2,9426.52,18853.04,14.0
V0000278,2023-01-02,T015,P0050,1,8755.34,8755.34,21.9
V0000279,2023-01-02,T033,P0166,1,4941.87,4941.87,0.4
V0000280,2023-01-02,T038,P0087,1,12494.84,12494.84,22.7
V0000281,2023-01-02,T079,P0045,2,13961.38,27922.77,26.9
V0000282,2023-01-02,T066,P0110,1,19138.04,19138.04,12.0
V0000283,2023-01-02,T024,P0025,3,6547.06,19641.19,14.3
V0000284,2023-01-02,T001,P0064,1,7895.46,7895.46,7.1
V0000285,2023-01-02,T035,P0193,2,2413.78,4827.56,9.1
V0000286,2023-01-02,T074,P0186,1,1071.73,1071.73,19.6
V0000287,2023-01-02,T031,P0178,1,3607.68,3607.68,3.5
V0000288,2023-01-02,T021,P0079,1,14829.67,14829.67,15.1
V0000289,2023-01-02,T099,P0181,1,1538.69,1538.69,3.5
V0000290,2023-01-02,T048,P0076,1,4211.16,4211.16,6.6
V0000291,2023-01-02,T062,P0035,1,14626.12,14626.12,22.4
V0000292,2023-01-02,T048,P0156,1,5319.29,5319.29,16.5
V0000293,2023-01-02,T097,P0121,1,9101.97,9101.97,19.9
V0000294,2023-01-02,T098,P0056,1,5966.77,5966.77,22.6
V0000295,2023-01-02,T068,P0021,1,5202.48,5202.48,21.1
V0000296,2023-01-02,T073,P0020,1,12750.35,12750.35,24.9
V0000297,2023-01-02,T026,P0130,1,12603.58,12603.58,4.5
V0000298,2023-01-02,T067,P0084,1,17920.85,17920.85,20.4
V0000299,2023-01-02,T075,P0184,1,1372.88,1372.88,27.0
V0000300,2023-01-02,T008,P0115,1,27315.32,27315.32,15.4
V0000301,2023-01-02,T073,P0117,1,22862.97,22862.97,13.9
V0000302,2023-01-02,T093,P0079,1,16129.19,16129.19,7.6
V0000303,2023-01-02,T096,P0001,1,18890.96,18890.96,2.2
V0000304,2023-01-02,T045,P0109,1,26249.91,26249.91,16.2
V0000305,2023-01-02,T009,P0016,3,18938.1,56814.3,14.2
V0000306,2023-01-02,T053,P0074,1,3936.43,3936.43,4.1
V0000307,2023-01-02,T094,P0165,1,5698.76,5698.76,12.6
V0000308,2023-01-02,T058,P0098,2,8734.57,17469.14,27.2
V0000309,2023-01-02,T011,P0097,1,7191.33,7191.33,19.9
V0000310,2023-01-02,T018,P0139,1,5258.43,5258.43,10.4
V0000311,2023-01-02,T069,P0046,1,5602.09,5602.09,3.8
V0000312,2023-01-02,T001,P0058,1,5078.7,5078.7,29.4
V0000313,2023-01-02,T087,P0119,1,22614.53,22614.53,12.7
V0000314,2023-01-02,T030,P0098,1,10752.51,10752.51,10.4
V0000315,2023-01-02,T025,P0071,2,14714.76,29429.52,21.8
V0000316,2023-01-02,T005,P0029,1,13866.03,13866.03,12.6
V0000317,2023-01-02,T003,P0197,1,4674.76,4674.76,2.0
V0000318,2023-01-02,T005,P0153,1,2547.69,2547.69,20.2
V0000319,2023-01-02,T032,P0013,1,8309.51,8309.51,12.1
V0000320,2023-01-02,T070,P0060,1,3105.6,3105.6,25.9
V0000321,2023-01-02,T018,P0015,1,16025.01,16025.01,8.7
V0000322,2023-01-02,T074,P0188,1,4031.15,4031.15,17.9
V0000323,2023-01-02,T042,P0173,1,2274.1,2274.1,26.3
V0000324,2023-01-02,T067,P0170,1,6144.48,6144.48,9.0
V0000325,2023-01-02,T072,P0016,2,16240.0,32479.99,26.4
V0000326,2023-01-02,T081,P0045,1,15916.62,15916.62,16.7
V0000327,2023-01-02,T045,P0013,2,7546.68,15093.36,20.1
V0000328,2023-01-02,T041,P0135,1,7439.23,7439.23,12.2
V0000329,2023-01-02,T049,P0077,1,9965.39,9965.39,16.1
V0000330,2023-01-02,T029,P0062,1,6672.39,6672.39,21.2
V0000331,2023-01-02,T008,P0119,1,18388.43,18388.43,29.0
V0000332,2023-01-02,T068,P0143,1,7397.12,7397.12,7.3
V0000333,2023-01-02,T043,P0053,1,2284.43,2284.43,27.7
V0000334,2023-01-02,T012,P0095,1,21042.93,21042.93,24.9
V0000335,2023-01-02,T035,P0014,1,12852.03,12852.03,18.1
V0000336,2023-01-02,T010,P0011,1,6804.13,6804.13,22.9
V0000337,2023-01-02,T086,P0186,1,1141.44,1141.44,14.4
V0000338,2023-01-02,T039,P0086,2,15622.46,31244.93,0.5
V0000339,2023-01-02,T095,P0049,1,13081.82,13081.82,30.0
V0000340,2023-01-02,T032,P0123,1,7754.0,7754.0,21.1
V0000341,2023-01-02,T031,P0102,1,9340.85,9340.85,23.3
V0000342,2023-01-02,T060,P0098,1,10705.35,10705.35,10.8
V0000343,2023-01-02,T047,P0067,1,11642.66,11642.66,14.9
V0000344,2023-01-02,T093,P0026,1,5743.6,5743.6,25.2
V0000345,2023-01-02,T048,P0053,1,3114.89,3114.89,1.4
V0000346,2023-01-02,T095,P0057,1,14450.24,14450.24,7.8
V0000347,2023-01-02,T075,P0150,1,12791.64,12791.64,8.9
V0000348,2023-01-02,T043,P0051,1,7008.83,7008.83,17.1
V0000349,2023-01-02,T064,P0063,1,4362.0,4362.0,28.3
V0000350,2023-01-02,T033,P0087,1,13797.96,13797.96,14.7
V0000351,2023-01-02,T083,P0186,1,1148.86,1148.86,13.8
V0000352,2023-01-02,T046,P0188,1,3850.78,3850.78,21.6
V0000353,2023-01-02,T024,P0126,2,4217.19,8434.38,16.3
V0000354,2023-01-02,T008,P0165,1,4879.63,4879.63,25.2
V0000355,2023-01-02,T086,P0020,1,16937.02,16937.02,0.2
V0000356,2023-01-02,T081,P0036,1,15685.42,15685.42,21.2
V0000357,2023-01-02,T028,P0003,1,4362.63,4362.63,11.2
V0000358,2023-01-02,T082,P0159,1,1891.26,1891.26,18.5
V0000359,2023-01-02,T085,P0124,1,6430.18,6430.18,0.2
V0000360,2023-01-02,T053,P0142,1,4857.9,4857.9,15.9
V0000361,2023-01-02,T069,P0071,3,18708.27,56124.81,0.5
V0000362,2023-01-02,T087,P0179,1,2590.67,2590.67,28.2
V0000363,2023-01-02,T014,P0046,2,4908.31,9816.62,15.7
V0000364,2023-01-02,T025,P0062,1,7829.01,7829.01,7.6
V0000365,2023-01-02,T035,P0091,1,16848.66,16848.66,2.4
V0000366,2023-01-02,T059,P0104,1,23169.39,23169.39,29.7
V0000367,2023-01-02,T039,P0058,1,5360.42,5360.42,25.4
V0000368,2023-01-02,T084,P0168,1,2124.68,2124.68,2.8
V0000369,2023-01-02,T049,P0098,1,11796.54,11796.54,1.7
V0000370,2023-01-02,T090,P0003,1,4175.96,4175.96,15.0
V0000371,2023-01-02,T083,P0112,1,28218.66,28218.66,17.0
V0000372,2023-01-02,T068,P0025,2,7114.88,14229.77,6.9
V0000373,2023-01-02,T073,P0178,1,3688.09,3688.09,1.4
V0000374,2023-01-02,T088,P0020,2,12391.25,24782.51,27.0
V0000375,2023-01-02,T085,P0145,1,10353.64,10353.64,27.9
V0000376,2023-01-02,T003,P0081,2,12499.71,24999.42,17.6
V0000377,2023-01-02,T092,P0193,1,1914.58,1914.58,27.9
V0000378,2023-01-02,T021,P0077,1,9862.84,9862.84,17.0
V0000379,2023-01-03,T070,P0174,1,1304.24,1304.24,22.7
V0000380,2023-01-03,T089,P0036,1,16918.06,16918.06,15.0
V0000381,2023-01-03,T007,P0089,1,14086.14,14086.14,7.0
V0000382,2023-01-03,T044,P0020,1,13844.42,13844.42,18.4
V0000383,2023-01-03,T051,P0153,2,2878.58,5757.16,9.8
V0000384,2023-01-03,T035,P0163,1,5104.91,5104.91,13.5
V0000385,2023-01-03,T046,P0059,1,9578.78,9578.78,11.3
V0000386,2023-01-03,T088,P0048,1,20763.87,20763.87,11.4
V0000387,2023-01-03,T080,P0198,1,2788.69,2788.69,7.4
V0000388,2023-01-03,T011,P0019,1,20915.27,20915.27,11.4
V0000389,2023-01-03,T020,P0163,1,5341.98,5341.98,9.5
V0000390,2023-01-03,T012,P0028,1,17596.59,17596.59,9.2
V0000391,2023-01-03,T098,P0093,1,18663.91,18663.91,4.0
V0000392,2023-01-03,T056,P0048,1,19535.82,19535.82,16.6
V0000393,2023-01-03,T014,P0105,1,10992.57,10992.57,10.6
V0000394,2023-01-03,T077,P0024,1,18695.23,18695.23,9.7
V0000395,2023-01-03,T002,P0099,1,15769.44,15769.44,11.6
V0000396,2023-01-03,T093,P0022,2,13213.54,26427.08,27.2
V0000397,2023-01-03,T074,P0063,1,4833.17,4833.17,20.6
